Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,249.979996,254.089996,249.809998,253.809998,249.344070,23079200
2021-06-08,255.160004,256.010010,252.509995,252.570007,248.125885,22455000
2021-06-09,253.809998,255.529999,253.210007,253.589996,249.127960,17937600
2021-06-10,254.289993,257.459991,253.669998,257.239990,252.713684,24563600
2021-06-11,257.989990,258.489990,256.609985,257.890015,253.352295,18999700
2021-06-14,257.899994,259.950012,256.799988,259.890015,255.317093,19150500
2021-06-15,259.769989,259.989990,257.679993,258.359985,253.814011,18038900
2021-06-16,259.399994,260.579987,254.419998,257.380005,252.851257,27220000
2021-06-17,256.070007,261.750000,256.010010,260.899994,256.309326,27565500
2021-06-18,259.630005,262.299988,258.750000,259.429993,254.865204,37202200
2021-06-21,259.820007,263.519989,257.920013,262.630005,258.008911,26696100
2021-06-22,262.720001,265.790009,262.399994,265.510010,260.838257,24694100
2021-06-23,265.989990,266.829987,264.429993,265.269989,260.602448,19518700
2021-06-24,266.160004,267.850006,265.470001,266.690002,261.997437,21446900
2021-06-25,266.230011,267.250000,264.760010,265.019989,260.356812,25611100
2021-06-28,266.190002,268.899994,265.910004,268.720001,263.991730,19590000
2021-06-29,268.869995,271.649994,267.980011,271.399994,266.624573,19937800
2021-06-30,270.690002,271.359985,269.600006,270.899994,266.133392,21656500
2021-07-01,269.609985,271.839996,269.600006,271.600006,266.821014,16725300
2021-07-02,272.820007,278.000000,272.500000,277.649994,272.764648,26458000
2021-07-06,278.029999,279.369995,274.299988,277.660004,272.774414,31565600
2021-07-07,279.399994,280.690002,277.149994,279.929993,275.004486,23260000
2021-07-08,276.899994,278.730011,274.869995,277.420013,272.538666,24618600
2021-07-09,275.720001,278.049988,275.320007,277.940002,273.049469,23916700
2021-07-12,279.160004,279.769989,276.579987,277.320007,272.440399,18931700
2021-07-13,277.519989,282.850006,277.390015,280.980011,276.036072,26120100
2021-07-14,282.350006,283.660004,280.549988,282.510010,277.539124,23113700
2021-07-15,282.000000,282.510010,279.829987,281.029999,276.085083,22604200
